,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
567,45,23,10,18,12,6,20,24,REABASTECER
568,34,19,5,14,8,43,17,22,REABASTECER
569,22,14,65,13,5,42,15,16,NORMAL
570,15,5,61,9,43,40,13,14,REABASTECER
571,2,65,54,5,41,34,11,8,NORMAL
572,86,60,45,43,36,29,5,5,REABASTECER
573,74,50,41,38,30,24,43,43,NORMAL
574,63,43,35,36,25,19,37,39,NORMAL
575,54,37,28,35,21,15,31,36,NORMAL
576,46,34,22,31,18,14,26,33,NORMAL
577,35,30,13,31,13,13,23,29,NORMAL
578,26,22,8,26,8,8,20,26,REABASTECER
579,13,15,65,22,4,6,14,21,REABASTECER
580,4,5,56,17,43,43,12,15,REABASTECER
581,86,65,52,11,41,38,7,11,NORMAL
582,74,61,45,6,37,35,2,9,REABASTECER
583,62,51,41,43,31,29,43,3,REABASTECER
584,50,47,37,39,27,28,38,43,NORMAL
585,41,44,31,36,23,27,33,41,NORMAL
586,29,37,23,36,17,25,27,36,NORMAL
587,18,33,14,31,12,23,24,34,NORMAL
588,11,23,10,26,9,18,21,32,REABASTECER
589,86,18,5,21,6,13,16,30,REABASTECER
590,76,13,65,16,43,13,14,28,NORMAL
591,65,4,56,16,39,12,9,22,REABASTECER
592,54,65,48,11,37,8,5,19,REABASTECER
593,47,63,43,11,34,4,43,16,REABASTECER
594,35,58,37,7,28,43,37,14,NORMAL
595,26,52,29,4,24,40,33,9,REABASTECER
596,17,47,19,43,22,37,28,7,NORMAL
597,5,39,15,42,20,34,26,4,REABASTECER
598,86,30,8,42,14,33,23,43,NORMAL
599,78,23,65,42,9,31,18,37,NORMAL
600,67,15,58,42,4,25,12,35,NORMAL
601,56,5,52,37,43,24,10,33,REABASTECER
602,47,65,45,36,39,24,6,30,REABASTECER
603,34,60,40,36,34,20,43,24,NORMAL
604,23,54,33,30,30,14,38,21,NORMAL
605,13,48,27,28,24,12,34,19,NORMAL
606,3,40,18,24,22,10,29,14,REABASTECER
607,86,32,10,18,20,8,25,12,NORMAL
608,78,29,5,16,17,3,23,9,REABASTECER
609,66,27,65,14,11,43,20,5,REABASTECER
610,58,25,55,8,6,39,18,43,REABASTECER
611,48,21,46,5,43,35,13,38,REABASTECER
612,35,16,38,43,41,30,9,34,NORMAL
613,22,12,32,39,35,29,5,31,NORMAL
614,11,5,27,35,29,24,43,26,REABASTECER
615,86,65,19,29,27,18,38,22,NORMAL
616,76,61,11,26,21,14,33,17,NORMAL
617,66,52,4,23,15,10,27,14,REABASTECER
618,56,47,65,21,11,8,22,12,NORMAL
619,49,39,55,17,9,4,20,9,REABASTECER
620,39,37,48,12,5,43,16,5,REABASTECER
621,32,29,44,10,43,38,12,43,NORMAL
622,21,26,35,5,39,34,6,39,REABASTECER
623,11,24,30,43,34,29,43,34,NORMAL
624,86,18,25,43,29,23,40,29,NORMAL
625,74,16,18,42,25,20,35,23,NORMAL
626,64,13,8,40,23,14,32,19,REABASTECER
627,55,9,65,40,21,11,30,13,NORMAL
628,47,65,61,36,18,6,24,8,REABASTECER
629,34,58,51,35,15,43,22,4,REABASTECER
630,23,48,46,33,12,38,19,43,NORMAL
631,12,44,42,33,6,35,14,38,REABASTECER
632,86,41,33,32,43,32,8,36,NORMAL
633,76,32,27,32,41,27,2,34,REABASTECER
634,67,28,22,26,36,26,43,31,NORMAL
635,58,26,14,21,32,22,41,28,NORMAL
636,47,23,4,15,28,16,35,22,REABASTECER
637,35,17,65,12,26,15,32,17,NORMAL
638,26,11,60,12,23,14,27,15,NORMAL
639,15,1,51,12,18,12,21,11,REABASTECER
640,7,65,46,8,12,7,15,7,NORMAL
641,86,63,42,8,9,5,9,5,REABASTECER
642,77,53,32,6,7,43,5,43,REABASTECER
643,69,47,26,43,3,37,43,38,REABASTECER
644,59,38,18,37,43,34,41,32,NORMAL
645,49,29,13,35,37,28,37,28,NORMAL
646,40,25,7,34,33,24,31,23,REABASTECER
647,27,22,65,28,28,24,25,17,NORMAL
648,18,16,59,26,26,19,19,11,NORMAL
649,10,13,50,25,21,18,15,7,REABASTECER
650,86,4,40,24,18,13,10,2,REABASTECER
651,75,65,34,19,16,9,8,43,NORMAL
652,62,58,25,19,11,6,5,41,REABASTECER
653,54,49,17,18,5,43,43,38,REABASTECER
654,43,42,9,18,43,37,40,32,NORMAL
655,36,33,65,13,41,36,35,28,NORMAL
656,24,29,61,7,39,36,32,23,NORMAL
657,11,25,52,7,35,35,29,17,REABASTECER
658,86,18,47,1,30,32,25,13,REABASTECER
659,79,12,40,43,25,26,22,9,NORMAL
660,71,2,36,41,22,24,17,4,REABASTECER
661,64,65,32,41,18,20,13,43,NORMAL
662,56,63,22,36,14,19,10,37,NORMAL
663,49,54,12,32,8,16,7,31,NORMAL
664,38,47,4,32,2,12,2,27,REABASTECER
665,27,40,65,30,43,7,43,21,NORMAL
666,15,31,55,29,41,7,40,15,NORMAL
667,8,23,46,24,35,6,34,13,REABASTECER
668,86,14,42,24,30,43,30,7,NORMAL
669,78,11,33,23,27,43,25,3,NORMAL
670,70,1,29,17,23,41,19,43,REABASTECER
671,57,65,22,14,18,35,17,39,NORMAL
672,47,60,15,8,13,33,14,36,NORMAL
673,36,58,6,6,10,29,11,30,REABASTECER
674,29,51,65,43,8,27,6,26,NORMAL
675,18,43,61,38,2,26,43,22,REABASTECER
676,9,41,57,38,43,23,39,19,REABASTECER
677,86,35,48,34,38,17,33,17,NORMAL
678,78,29,43,33,36,17,27,14,NORMAL
679,66,21,39,32,33,16,24,10,NORMAL
680,55,11,29,31,30,12,22,8,NORMAL
681,43,6,25,30,25,9,17,3,REABASTECER
682,34,65,19,27,23,9,12,43,NORMAL
683,24,62,13,21,17,4,10,39,REABASTECER
684,14,58,9,19,12,43,4,33,REABASTECER
685,6,51,65,13,7,37,43,28,NORMAL
686,86,48,57,9,1,34,41,23,REABASTECER
687,79,41,51,7,43,30,36,19,NORMAL
688,67,36,42,5,37,29,32,16,REABASTECER
689,56,33,33,43,34,28,30,13,NORMAL
690,43,29,27,39,29,23,27,11,NORMAL
691,32,24,18,33,24,19,24,5,REABASTECER
692,21,22,14,29,19,15,20,43,NORMAL
693,11,16,6,25,15,11,17,41,REABASTECER
694,86,7,65,21,12,9,12,35,REABASTECER
695,74,65,57,16,10,8,6,29,REABASTECER
696,65,62,51,13,4,6,43,24,REABASTECER
697,58,57,41,9,43,43,39,19,NORMAL
698,45,53,37,6,39,37,37,13,REABASTECER
699,38,43,28,43,35,33,31,8,NORMAL
700,30,33,23,39,30,28,29,3,REABASTECER
701,22,26,18,36,26,25,24,43,NORMAL
702,10,18,8,34,20,23,20,39,REABASTECER
703,86,14,65,34,15,18,16,36,NORMAL
704,73,7,55,30,13,18,11,33,REABASTECER
705,60,65,51,29,11,15,6,31,REABASTECER
706,52,57,42,28,8,13,43,28,NORMAL
707,40,51,35,27,4,13,39,24,REABASTECER
708,28,47,29,24,43,11,36,19,NORMAL
709,19,43,20,19,38,8,31,15,NORMAL
710,11,37,14,18,32,8,25,9,REABASTECER
711,86,34,5,12,30,8,22,5,REABASTECER
712,78,25,65,12,24,8,18,43,NORMAL
713,66,19,55,6,18,5,15,40,REABASTECER
714,58,17,51,43,13,43,10,34,NORMAL
715,47,9,42,39,7,39,4,31,REABASTECER
716,36,65,38,36,3,35,43,25,NORMAL
717,27,56,28,34,43,31,39,19,NORMAL
718,15,54,18,32,40,26,35,14,NORMAL
719,6,46,8,32,36,25,31,8,REABASTECER
720,86,41,65,32,31,20,27,2,REABASTECER
721,76,39,61,27,26,20,23,43,NORMAL
722,65,31,51,26,22,19,17,37,NORMAL
723,56,28,44,26,20,19,13,32,NORMAL
724,47,23,35,24,17,18,8,30,NORMAL
725,34,21,26,24,13,16,4,28,REABASTECER
726,21,11,16,23,8,16,43,24,NORMAL
727,11,1,10,20,2,12,37,18,REABASTECER
728,86,65,5,15,43,11,33,13,REABASTECER
729,76,57,65,15,37,10,28,9,NORMAL
730,67,54,60,12,34,4,26,7,REABASTECER
731,57,49,51,6,29,43,22,4,REABASTECER
732,50,40,47,43,24,40,18,43,NORMAL
733,42,36,43,42,21,39,15,38,NORMAL
734,31,33,39,42,15,38,12,35,NORMAL
735,24,26,30,38,11,32,8,33,NORMAL
736,15,24,23,34,8,30,2,28,REABASTECER
737,2,20,14,30,6,25,43,26,REABASTECER
738,86,12,10,29,43,24,41,24,NORMAL
739,74,2,3,27,41,21,38,21,REABASTECER
740,62,65,65,21,39,20,35,16,NORMAL
741,49,57,56,16,33,14,33,11,NORMAL
742,40,51,49,10,31,10,30,9,NORMAL
743,33,47,40,10,28,10,27,4,REABASTECER
744,20,43,31,10,22,6,21,43,REABASTECER
745,8,39,23,5,19,43,18,38,REABASTECER
746,86,31,17,43,16,43,14,36,NORMAL
747,75,26,7,39,10,41,9,31,REABASTECER
748,65,24,65,35,5,37,3,29,REABASTECER
749,56,19,59,35,43,31,43,24,NORMAL
750,47,12,52,33,38,28,38,21,NORMAL
751,34,9,43,32,35,26,33,17,REABASTECER
752,21,65,39,27,31,23,31,13,NORMAL
753,14,59,34,25,26,21,27,10,NORMAL
754,2,54,26,23,21,15,22,4,REABASTECER
755,86,48,18,17,18,14,17,43,NORMAL
756,76,44,10,14,14,14,13,40,NORMAL
757,67,37,3,14,11,8,10,37,REABASTECER
758,58,35,65,11,9,4,4,32,REABASTECER
759,51,32,60,7,6,43,43,27,NORMAL
760,44,30,54,4,43,41,37,24,REABASTECER
761,33,27,46,43,37,39,33,18,NORMAL
762,23,25,36,41,32,38,28,15,NORMAL
763,12,16,29,37,26,36,25,10,REABASTECER
764,86,11,19,33,20,35,21,4,REABASTECER
765,74,9,14,32,17,29,18,43,NORMAL
766,65,65,8,32,13,25,14,39,NORMAL
767,52,59,65,29,9,20,8,34,NORMAL
768,44,55,59,23,5,20,3,29,REABASTECER
769,32,53,51,22,43,15,43,26,NORMAL
770,21,48,41,18,38,11,40,22,NORMAL
771,8,39,31,16,36,6,36,20,REABASTECER
772,86,29,24,12,31,43,33,17,NORMAL
773,73,26,20,6,28,43,30,14,REABASTECER
774,65,19,12,43,23,37,25,9,NORMAL
775,52,9,7,41,21,31,20,6,REABASTECER
776,44,65,65,35,16,29,16,43,NORMAL
777,32,56,56,34,10,28,11,40,NORMAL
778,24,50,50,30,8,22,9,38,NORMAL
779,12,44,40,25,2,16,4,35,REABASTECER
780,86,34,31,20,43,14,43,32,NORMAL
781,76,26,21,15,39,8,38,30,NORMAL
782,66,21,13,11,33,7,35,26,NORMAL
783,53,12,8,11,27,4,32,20,REABASTECER
784,40,6,65,11,24,43,28,18,REABASTECER
785,33,65,60,11,18,41,23,16,NORMAL
786,24,60,51,5,12,36,17,12,NORMAL
787,16,58,46,43,6,33,11,10,REABASTECER
788,5,51,41,42,43,32,5,7,REABASTECER
789,86,44,33,37,41,31,43,3,REABASTECER
790,75,38,27,37,37,30,41,43,NORMAL
791,66,30,18,37,35,29,38,37,NORMAL
792,58,25,14,35,33,28,34,34,NORMAL
793,51,20,10,34,31,25,30,30,NORMAL
794,41,15,5,31,29,24,26,24,REABASTECER
795,33,11,65,27,27,24,23,19,NORMAL
796,20,7,58,21,23,21,18,13,REABASTECER
797,11,65,53,17,18,16,12,10,NORMAL
798,86,58,49,17,14,10,9,6,REABASTECER
799,77,50,43,14,11,6,6,43,REABASTECER
800,70,47,38,8,8,43,43,41,NORMAL
801,58,40,34,2,3,43,38,36,REABASTECER
802,49,33,28,43,43,39,32,33,NORMAL
803,41,31,18,43,39,33,27,31,NORMAL
804,28,22,11,42,37,27,24,29,NORMAL
805,16,13,4,38,35,23,20,23,REABASTECER
806,8,8,65,38,31,20,18,17,NORMAL
807,86,65,56,34,27,15,13,15,NORMAL
808,78,56,51,28,24,15,9,12,NORMAL
809,69,53,42,26,20,10,4,9,REABASTECER
810,61,50,36,24,15,6,43,3,REABASTECER
811,53,46,29,19,11,43,40,43,NORMAL
812,40,42,25,19,5,37,38,40,REABASTECER
813,32,32,18,13,43,36,34,35,NORMAL
814,22,26,14,13,37,33,28,30,NORMAL
815,9,23,9,8,34,29,26,24,REABASTECER
816,86,19,65,5,32,29,23,22,REABASTECER
817,79,12,57,43,28,24,20,16,NORMAL
818,69,4,53,43,22,18,16,11,REABASTECER
819,57,65,45,38,18,15,14,6,REABASTECER
820,48,62,36,36,16,14,9,43,NORMAL
821,36,57,28,31,14,13,3,39,REABASTECER
822,24,54,19,28,9,13,43,33,NORMAL
823,16,44,12,26,5,13,40,27,REABASTECER
824,4,38,7,23,43,7,34,25,REABASTECER
825,86,36,65,17,39,5,29,20,NORMAL
826,76,27,61,11,35,43,26,18,NORMAL
827,68,20,55,9,33,39,22,16,NORMAL
828,56,16,45,8,27,38,20,11,NORMAL
829,43,12,35,4,22,32,18,7,NORMAL
830,32,8,28,43,16,30,16,3,REABASTECER
831,20,65,22,39,10,25,12,43,NORMAL
832,8,62,17,37,8,23,10,41,REABASTECER
833,86,54,9,35,3,23,6,36,REABASTECER
834,74,45,65,32,43,23,43,34,NORMAL
835,65,35,58,27,37,18,37,31,NORMAL
836,57,33,53,22,35,16,34,26,NORMAL
837,49,26,48,22,30,16,31,21,NORMAL
838,36,16,43,17,24,10,26,16,NORMAL
839,23,6,39,17,19,6,20,14,REABASTECER
840,10,65,29,15,13,43,14,9,REABASTECER
841,86,62,21,13,11,43,11,5,NORMAL
842,74,54,17,7,7,38,5,43,REABASTECER
843,66,45,10,7,2,33,43,41,NORMAL
844,59,38,0,6,43,33,37,39,REABASTECER
845,50,29,65,43,37,29,33,34,NORMAL
846,42,21,57,39,34,26,27,28,NORMAL
847,31,17,50,36,32,26,21,23,NORMAL
848,24,14,40,30,30,21,17,18,NORMAL
849,12,5,36,30,27,20,13,16,REABASTECER
850,86,65,31,30,22,20,11,13,NORMAL
851,78,62,25,27,20,15,5,8,REABASTECER
852,68,52,16,24,15,10,43,5,NORMAL
853,57,48,11,21,11,8,40,43,NORMAL
854,46,42,5,19,8,5,34,40,REABASTECER
855,37,33,65,17,4,43,28,35,REABASTECER
856,30,24,61,17,43,37,25,30,NORMAL
857,21,17,55,13,37,31,23,27,NORMAL
858,8,12,51,10,32,29,19,24,REABASTECER
859,86,7,42,5,29,23,17,18,REABASTECER
860,78,65,37,43,24,19,15,14,NORMAL
861,65,59,28,38,22,16,9,10,NORMAL
862,53,49,20,33,18,10,7,7,NORMAL
863,43,46,12,27,12,7,1,3,REABASTECER
864,34,44,7,24,7,1,43,43,NORMAL
865,25,39,65,20,5,43,41,38,NORMAL
866,12,33,58,20,43,40,38,32,REABASTECER
867,86,26,49,16,37,38,32,27,NORMAL
868,79,24,40,14,33,35,28,22,NORMAL
869,66,19,33,8,30,31,25,16,NORMAL
870,58,9,29,3,27,25,21,12,REABASTECER
871,45,65,23,43,22,21,16,7,NORMAL
872,38,57,14,43,19,20,11,1,NORMAL
873,28,49,7,41,17,17,6,43,REABASTECER
874,17,39,65,40,14,17,43,41,NORMAL
875,4,29,60,36,8,15,38,39,REABASTECER
876,86,23,56,32,2,13,36,36,NORMAL
877,77,13,49,30,43,10,30,32,NORMAL
878,67,9,41,27,38,8,28,28,NORMAL
879,58,65,33,25,33,3,22,22,REABASTECER
880,46,60,23,23,29,43,16,17,NORMAL
881,36,51,13,23,26,43,14,15,NORMAL
882,25,48,5,23,20,39,8,11,REABASTECER
883,18,38,65,18,18,35,6,6,REABASTECER
884,11,36,56,16,15,29,43,43,REABASTECER
885,86,26,46,12,13,25,41,40,NORMAL
886,76,22,36,10,8,21,36,37,NORMAL
887,67,17,28,10,2,17,34,35,REABASTECER
888,59,14,24,6,43,17,29,30,NORMAL
889,50,9,18,43,38,11,27,26,NORMAL
890,42,65,14,43,33,8,25,20,NORMAL
891,34,62,5,38,31,7,23,14,REABASTECER
892,26,54,65,38,27,2,19,10,REABASTECER
893,14,47,59,35,23,43,17,6,REABASTECER
894,1,38,50,34,19,39,13,43,REABASTECER
895,86,30,46,32,17,34,11,40,NORMAL
896,76,23,41,29,14,29,7,35,NORMAL
897,64,13,33,26,9,23,3,31,REABASTECER
898,57,11,28,22,6,23,43,28,REABASTECER
899,45,5,21,17,43,18,37,25,REABASTECER
900,33,65,17,13,40,15,32,23,NORMAL
901,21,59,12,12,38,9,26,18,NORMAL
902,11,49,6,12,32,8,22,16,REABASTECER
903,86,43,65,9,27,8,20,13,NORMAL
904,77,38,61,6,21,7,18,9,REABASTECER
905,69,28,53,43,19,2,14,3,REABASTECER
906,56,22,44,37,13,43,11,43,NORMAL
907,46,13,38,36,7,42,7,37,NORMAL
908,33,11,34,35,5,40,1,32,REABASTECER
909,21,2,30,30,43,39,43,26,REABASTECER
910,13,65,24,26,38,33,41,22,NORMAL
911,4,63,16,20,36,29,37,16,REABASTECER
912,86,54,10,15,34,23,33,10,NORMAL
913,79,49,5,15,31,18,29,6,REABASTECER
914,72,45,65,10,28,16,25,43,NORMAL
915,65,43,56,4,24,10,22,39,REABASTECER
916,58,36,50,43,22,5,18,35,REABASTECER
917,48,26,41,40,16,43,16,31,NORMAL
918,38,24,31,39,10,39,11,28,NORMAL
919,31,21,21,33,8,37,7,24,NORMAL
920,21,18,13,31,6,33,4,22,REABASTECER
921,8,12,9,30,43,29,43,17,REABASTECER
922,86,3,65,30,38,23,38,15,REABASTECER
923,76,65,58,27,35,18,33,12,NORMAL
924,64,62,53,25,30,15,30,10,NORMAL
925,56,60,44,23,26,13,25,8,NORMAL
926,46,54,39,21,21,7,22,3,REABASTECER
927,37,52,30,21,19,3,18,43,REABASTECER
928,30,48,24,16,14,43,14,39,NORMAL
929,21,38,18,10,9,38,8,35,NORMAL
930,8,31,12,5,7,32,6,31,REABASTECER
931,86,28,4,43,4,26,43,26,REABASTECER
932,76,19,65,37,43,20,37,22,NORMAL
933,64,17,58,31,41,14,34,18,NORMAL
934,53,8,53,31,39,10,29,15,REABASTECER
935,40,65,49,30,37,8,25,13,NORMAL
936,28,59,42,24,35,5,19,9,REABASTECER
937,20,51,36,18,33,43,15,6,REABASTECER
938,10,46,30,15,31,42,9,43,REABASTECER
939,86,42,22,12,25,41,4,39,REABASTECER
940,74,34,16,8,22,37,43,33,NORMAL
941,64,27,8,8,17,36,40,31,REABASTECER
942,54,18,65,5,14,33,36,29,REABASTECER
943,43,11,55,43,11,31,31,23,NORMAL
944,31,2,49,43,5,30,28,20,REABASTECER
945,23,65,42,40,43,30,22,18,NORMAL
946,10,63,38,36,38,28,16,12,REABASTECER
947,86,61,34,30,32,26,10,8,NORMAL
948,76,57,30,29,28,24,5,5,REABASTECER
949,66,54,23,28,26,22,43,43,NORMAL
950,55,48,13,24,21,16,41,41,NORMAL
951,46,44,6,19,18,16,39,37,REABASTECER
952,37,35,65,17,15,11,36,32,NORMAL
953,28,30,56,11,13,11,30,26,NORMAL
954,18,28,51,11,9,11,24,20,NORMAL
955,8,24,41,8,6,7,21,17,REABASTECER
956,86,19,34,2,43,7,17,13,NORMAL
957,74,9,29,43,38,7,15,10,NORMAL
958,66,65,24,42,33,2,9,8,REABASTECER
959,53,60,16,38,27,43,3,6,REABASTECER
960,46,52,12,36,24,43,43,43,NORMAL
961,39,48,7,30,19,43,39,41,REABASTECER
962,26,41,65,25,13,38,36,37,NORMAL
963,14,31,60,23,9,38,31,32,NORMAL
964,3,26,55,18,4,35,26,30,REABASTECER
965,86,23,50,17,43,33,20,28,NORMAL
966,75,13,41,14,41,28,16,23,NORMAL
967,63,11,33,14,39,25,13,18,NORMAL
968,51,6,27,9,33,22,8,15,REABASTECER
969,43,65,19,5,27,16,4,10,NORMAL
970,31,57,15,43,25,13,43,5,REABASTECER
971,23,54,11,39,23,13,37,43,NORMAL
972,15,48,6,35,17,8,31,37,REABASTECER
973,3,44,65,31,11,6,25,32,REABASTECER
974,86,38,61,30,7,43,22,26,NORMAL
975,77,28,56,29,5,42,20,22,NORMAL
976,67,20,49,28,43,36,18,19,NORMAL
977,54,13,41,24,39,35,14,14,NORMAL
978,44,7,36,18,36,29,11,8,REABASTECER
979,34,65,28,17,33,27,6,2,REABASTECER
980,21,60,18,15,27,22,43,43,NORMAL
981,9,56,13,14,21,17,37,37,REABASTECER
982,86,49,7,14,17,12,33,33,REABASTECER
983,74,41,65,8,14,7,27,27,NORMAL
