,pretende_fazer_cursos_lit,interesse_mba_lit,horas_semanais_estudo,total_modulos,modulos_iniciados,modulos_finalizados,certificados,target
660,1,1,8,21,21,21,0,perfil2
661,1,1,10,25,11,9,0,perfil4
662,0,0,10,28,10,7,0,perfil5
663,0,0,9,277,89,74,4,perfil1
664,0,0,2,26,8,7,0,perfil5
665,1,1,6,171,79,64,0,perfil2
666,0,0,6,273,99,34,0,perfil2
667,0,0,7,131,84,71,4,perfil1
668,1,1,9,96,34,21,0,perfil2
669,0,0,9,31,31,31,0,perfil2
670,0,0,2,64,27,22,0,perfil2
671,0,0,4,38,35,34,0,perfil2
672,0,0,5,33,3,2,0,perfil6
673,0,0,3,118,37,19,1,perfil1
674,1,1,3,33,17,14,0,perfil4
675,1,1,4,10,10,10,1,perfil1
676,0,0,6,33,7,6,0,perfil5
677,1,1,6,87,29,19,0,perfil3
678,0,0,8,31,4,2,0,perfil6
679,1,1,5,35,3,1,0,perfil6
680,0,0,10,10,2,1,0,perfil6
681,0,0,8,28,5,2,0,perfil6
682,0,0,8,10,8,7,0,perfil5
683,1,1,7,27,22,22,0,perfil2
684,0,0,10,538,364,349,2,perfil1
685,0,0,8,21,18,17,0,perfil3
686,1,1,10,10,8,7,0,perfil5
687,1,1,3,89,19,13,0,perfil4
688,1,1,6,71,71,71,0,perfil2
689,0,0,2,76,72,70,1,perfil1
690,1,1,5,76,72,71,5,perfil1
691,1,1,4,169,43,39,0,perfil2
692,0,0,3,68,13,9,0,perfil4
693,1,1,9,100,99,99,0,perfil2
694,0,0,9,29,10,8,0,perfil5
695,0,0,4,27,19,14,0,perfil4
696,0,0,8,40,17,16,0,perfil3
697,0,0,5,94,51,46,1,perfil1
698,0,0,3,25,3,1,0,perfil6
699,1,1,10,210,67,56,0,perfil2
700,1,1,7,58,15,7,0,perfil5
701,1,1,8,33,33,33,1,perfil1
702,0,0,9,153,80,73,0,perfil2
703,1,1,6,231,210,201,4,perfil1
704,0,0,9,601,564,556,3,perfil1
705,0,0,5,27,6,5,0,perfil5
706,0,0,3,21,19,15,1,perfil1
707,1,1,8,38,19,15,0,perfil3
708,1,1,9,33,5,2,0,perfil6
709,0,0,4,27,26,26,0,perfil2
710,1,1,6,290,81,55,0,perfil2
711,1,1,7,100,88,87,0,perfil2
712,1,1,8,30,2,1,0,perfil6
713,0,0,2,10,9,7,0,perfil5
714,0,0,9,137,81,67,0,perfil2
715,1,1,9,33,7,3,0,perfil6
716,0,0,3,27,15,11,0,perfil4
717,1,1,6,96,17,12,0,perfil4
718,1,1,6,84,13,6,0,perfil5
719,1,1,5,27,4,2,0,perfil6
720,0,0,4,73,69,64,1,perfil1
721,0,0,7,28,26,21,0,perfil2
722,0,0,3,33,8,2,0,perfil6
723,0,0,10,19,5,2,0,perfil6
724,0,0,6,30,3,2,0,perfil6
725,1,1,8,69,6,2,0,perfil6
726,0,0,4,30,11,9,0,perfil4
727,0,0,8,13,5,3,0,perfil6
728,1,1,9,57,13,9,0,perfil4
729,1,1,5,48,35,30,1,perfil1
730,1,1,3,33,33,33,0,perfil2
731,1,1,9,30,25,23,0,perfil2
732,0,0,3,27,22,22,0,perfil2
733,0,0,5,20,13,11,0,perfil4
734,0,0,3,71,5,3,0,perfil6
735,1,1,8,36,3,1,0,perfil6
736,0,0,2,33,9,8,0,perfil5
737,1,1,6,229,84,66,1,perfil1
738,1,1,2,69,21,21,0,perfil2
739,0,0,10,98,71,68,0,perfil2
740,0,0,9,449,193,154,0,perfil2
741,0,0,8,37,13,8,0,perfil5
742,0,0,2,25,17,12,0,perfil4
743,0,0,10,29,10,5,0,perfil5
744,1,1,9,21,4,2,0,perfil6
745,0,0,8,20,14,10,0,perfil4
746,1,1,7,30,4,3,0,perfil6
747,0,0,4,174,15,9,0,perfil4
748,1,1,10,145,78,61,0,perfil2
749,0,0,6,10,8,3,0,perfil6
750,0,0,7,39,38,37,0,perfil2
751,1,1,3,22,22,21,0,perfil2
752,0,0,4,405,267,231,0,perfil2
753,1,1,3,26,3,1,0,perfil6
754,0,0,3,29,2,2,0,perfil6
755,1,1,8,67,15,12,0,perfil4
756,1,1,8,27,10,8,0,perfil5
757,1,1,7,32,4,1,0,perfil6
758,0,0,8,134,97,88,0,perfil2
759,0,0,7,138,82,71,0,perfil2
760,1,1,2,37,4,3,0,perfil6
761,0,0,8,210,185,157,4,perfil1
762,1,1,2,10,5,4,0,perfil6
763,0,0,4,150,77,73,2,perfil1
764,1,1,3,149,81,51,0,perfil2
765,0,0,5,10,3,1,0,perfil6
766,0,0,9,99,96,95,3,perfil1
767,1,1,7,10,4,2,0,perfil6
768,1,1,4,33,10,8,0,perfil5
769,0,0,9,88,18,12,0,perfil4
770,1,1,9,10,3,2,0,perfil6
771,1,1,5,18,6,3,0,perfil6
772,0,0,2,40,40,40,4,perfil1
773,0,0,5,28,23,21,0,perfil2
774,0,0,2,31,4,2,0,perfil6
775,0,0,4,59,5,2,0,perfil6
776,1,1,6,71,21,16,0,perfil3
777,0,0,4,134,73,70,0,perfil2
778,1,1,9,27,27,23,1,perfil1
779,1,1,6,84,58,55,0,perfil2
780,1,1,6,81,20,14,0,perfil4
781,1,1,6,30,22,15,0,perfil3
782,1,1,10,76,35,29,1,perfil1
783,1,1,9,227,130,120,4,perfil1
784,1,1,8,92,17,11,0,perfil4
785,0,0,9,541,307,280,0,perfil2
786,1,1,5,207,46,35,0,perfil2
787,0,0,7,114,114,114,0,perfil2
788,0,0,10,33,11,9,0,perfil4
789,0,0,10,49,49,49,2,perfil1
790,0,0,5,27,13,12,0,perfil4
791,1,1,5,54,28,23,0,perfil2
792,1,1,3,73,12,7,0,perfil5
793,1,1,5,33,29,25,1,perfil1
794,1,1,4,164,32,27,0,perfil2
795,0,0,10,33,12,5,0,perfil5
796,1,1,9,11,3,1,0,perfil6
797,0,0,6,97,8,4,0,perfil6
798,1,1,8,88,22,15,0,perfil3
799,0,0,4,39,4,1,0,perfil6
800,1,1,2,244,117,111,3,perfil1
801,0,0,5,38,4,2,0,perfil6
802,0,0,6,89,25,14,0,perfil4
803,1,1,2,330,289,221,0,perfil2
804,1,1,9,31,2,1,0,perfil6
805,0,0,10,21,15,9,0,perfil4
806,1,1,7,10,3,1,0,perfil6
807,0,0,5,81,10,5,0,perfil5
808,1,1,2,30,2,1,0,perfil6
809,1,1,3,118,104,103,0,perfil2
810,0,0,6,29,20,19,0,perfil3
811,0,0,9,152,50,26,0,perfil2
812,1,1,9,85,20,11,0,perfil4
813,1,1,6,29,29,29,1,perfil1
814,1,1,8,40,38,36,0,perfil2
815,1,1,10,30,18,13,1,perfil1
816,1,1,5,63,13,11,0,perfil4
817,0,0,2,10,9,7,0,perfil5
818,1,1,4,27,27,23,0,perfil2
819,1,1,10,11,10,6,0,perfil5
820,0,0,2,698,283,180,0,perfil2
821,0,0,3,10,5,3,0,perfil6
822,1,1,2,30,5,1,0,perfil6
823,0,0,8,122,75,71,2,perfil1
824,1,1,7,10,4,1,0,perfil6
825,1,1,2,100,12,5,0,perfil5
826,0,0,5,38,6,1,0,perfil6
827,1,1,7,88,9,5,0,perfil5
828,0,0,7,138,53,39,0,perfil2
829,1,1,5,49,26,13,0,perfil4
830,1,1,10,26,24,23,0,perfil2
831,0,0,10,25,25,25,2,perfil1
832,1,1,6,29,5,2,0,perfil6
833,0,0,8,66,60,31,0,perfil2
834,0,0,5,100,99,99,3,perfil1
835,0,0,10,27,27,25,1,perfil1
836,0,0,8,55,29,28,1,perfil1
837,0,0,6,10,4,1,0,perfil6
838,1,1,4,36,24,24,0,perfil2
839,1,1,6,19,6,3,0,perfil6
840,1,1,9,136,39,33,0,perfil2
841,1,1,9,56,5,2,0,perfil6
842,1,1,6,23,21,21,0,perfil2
843,0,0,7,277,67,54,0,perfil2
844,0,0,5,269,79,59,0,perfil2
845,1,1,3,21,18,15,1,perfil1
846,1,1,8,41,9,7,0,perfil5
847,1,1,4,135,42,31,0,perfil2
848,1,1,8,21,18,15,1,perfil1
849,0,0,10,54,48,46,1,perfil1
850,0,0,7,20,6,5,0,perfil5
851,1,1,9,56,9,6,0,perfil5
852,1,1,7,27,20,13,0,perfil4
853,0,0,6,30,24,23,1,perfil1
854,0,0,8,20,4,3,0,perfil6
855,0,0,5,81,31,16,0,perfil3
856,0,0,6,54,40,30,1,perfil1
857,0,0,9,85,13,10,0,perfil4
858,1,1,2,112,25,15,0,perfil3
859,1,1,9,178,77,60,2,perfil1
860,1,1,8,39,7,3,0,perfil6
861,0,0,7,114,4,1,0,perfil6
862,0,0,5,29,9,9,0,perfil4
863,0,0,9,89,37,35,1,perfil1
864,0,0,6,150,47,39,0,perfil2
865,0,0,3,88,5,1,0,perfil6
866,0,0,8,61,61,61,6,perfil1
867,0,0,8,153,60,57,0,perfil2
868,0,0,2,165,70,43,0,perfil2
869,1,1,10,138,101,100,0,perfil2
870,0,0,10,99,67,65,2,perfil1
871,1,1,10,119,116,113,0,perfil2
872,1,1,2,27,3,2,0,perfil6
873,1,1,6,21,13,11,0,perfil4
874,0,0,5,10,6,3,0,perfil6
875,0,0,6,138,41,34,0,perfil2
876,1,1,3,199,18,11,0,perfil4
877,0,0,8,635,346,267,1,perfil1
878,0,0,6,10,7,4,0,perfil6
879,0,0,6,94,47,40,0,perfil2
880,0,0,4,70,43,40,0,perfil2
881,0,0,4,140,59,41,1,perfil1
882,1,1,5,30,28,28,1,perfil1
883,0,0,9,29,4,2,0,perfil6
884,0,0,4,10,3,1,0,perfil6
885,0,0,9,10,4,2,0,perfil6
886,0,0,10,88,54,43,0,perfil2
887,0,0,8,10,2,1,0,perfil6
888,1,1,7,121,105,100,0,perfil2
889,0,0,9,10,3,1,0,perfil6
890,0,0,6,111,26,16,0,perfil3
891,0,0,4,30,30,30,0,perfil2
892,1,1,6,28,8,6,0,perfil5
893,0,0,3,28,8,4,0,perfil6
894,1,1,10,53,23,9,0,perfil4
895,1,1,4,21,21,17,0,perfil3
896,0,0,2,188,122,116,1,perfil1
897,0,0,4,27,14,7,0,perfil5
898,0,0,3,37,2,1,0,perfil6
899,0,0,2,110,110,109,3,perfil1
900,1,1,4,90,83,80,5,perfil1
901,1,1,5,10,6,3,0,perfil6
902,1,1,4,10,4,1,0,perfil6
903,1,1,2,10,3,2,0,perfil6
904,0,0,9,69,14,11,0,perfil4
905,0,0,3,31,31,31,0,perfil2
906,0,0,10,41,12,8,0,perfil5
907,1,1,7,371,108,67,0,perfil2
908,0,0,5,141,61,60,0,perfil2
909,1,1,2,13,11,10,0,perfil4
910,1,1,8,120,18,7,0,perfil5
911,1,1,5,109,85,85,0,perfil2
912,1,1,4,31,31,27,0,perfil2
913,1,1,9,43,17,16,0,perfil3
914,1,1,8,87,11,4,0,perfil6
915,1,1,2,22,7,6,0,perfil5
916,1,1,5,26,3,1,0,perfil6
917,0,0,3,81,22,13,0,perfil4
918,1,1,4,20,10,8,0,perfil5
919,1,1,3,30,2,1,0,perfil6
920,1,1,10,31,2,1,0,perfil6
921,0,0,5,27,6,5,0,perfil5
922,0,0,8,314,175,155,4,perfil1
923,0,0,4,82,17,9,0,perfil4
924,1,1,8,26,10,9,0,perfil4
925,0,0,7,30,25,18,0,perfil3
926,0,0,8,10,10,10,0,perfil4
927,1,1,9,263,108,77,0,perfil2
928,1,1,10,10,3,1,0,perfil6
929,1,1,7,20,5,4,0,perfil6
930,0,0,5,10,4,3,0,perfil6
931,1,1,2,30,3,3,0,perfil6
932,1,1,3,67,37,28,0,perfil2
933,1,1,8,40,4,1,0,perfil6
934,1,1,10,27,6,4,0,perfil6
935,0,0,10,54,54,54,0,perfil2
936,0,0,3,41,7,3,0,perfil6
937,1,1,10,132,31,23,0,perfil2
938,1,1,6,46,7,3,0,perfil6
939,0,0,6,27,18,16,0,perfil3
940,0,0,8,27,3,1,0,perfil6
941,0,0,9,97,6,2,0,perfil6
942,1,1,5,216,130,126,0,perfil2
943,0,0,8,33,6,3,0,perfil6
944,1,1,5,10,7,2,0,perfil6
945,1,1,2,53,9,6,0,perfil5
946,1,1,6,83,83,83,3,perfil1
947,1,1,10,99,95,93,1,perfil1
948,1,1,5,323,293,292,0,perfil2
949,0,0,7,30,24,20,0,perfil3
950,1,1,3,38,3,1,0,perfil6
951,1,1,8,19,11,10,0,perfil4
952,1,1,8,26,4,2,0,perfil6
953,1,1,2,97,8,3,0,perfil6
954,1,1,7,70,70,70,0,perfil2
955,0,0,6,23,18,17,0,perfil3
956,0,0,10,136,103,101,0,perfil2
957,1,1,3,29,5,2,0,perfil6
958,0,0,4,88,30,27,0,perfil2
959,0,0,5,116,114,111,4,perfil1
960,1,1,2,40,6,3,0,perfil6
961,1,1,6,10,3,1,0,perfil6
962,1,1,6,84,31,17,0,perfil3
963,0,0,3,33,3,1,0,perfil6
964,1,1,2,10,10,10,0,perfil4
965,1,1,9,29,28,26,0,perfil2
966,1,1,9,60,15,11,0,perfil4
967,1,1,5,88,64,59,1,perfil1
968,0,0,7,88,61,58,2,perfil1
969,1,1,7,27,22,22,0,perfil2
970,0,0,7,71,4,2,0,perfil6
971,0,0,5,73,21,8,0,perfil5
972,0,0,3,10,10,10,1,perfil1
973,0,0,4,10,10,10,0,perfil4
974,1,1,10,21,12,10,0,perfil4
975,0,0,5,11,4,2,0,perfil6
976,0,0,6,222,126,112,0,perfil2
977,1,1,8,27,2,1,0,perfil6
978,0,0,3,27,27,27,0,perfil2
979,1,1,10,141,11,5,0,perfil5
980,1,1,3,53,25,18,0,perfil3
981,0,0,3,62,27,23,0,perfil2
982,0,0,5,75,57,55,1,perfil1
983,0,0,8,27,15,15,0,perfil3
984,1,1,4,26,5,2,0,perfil6
985,1,1,6,10,3,1,0,perfil6
986,0,0,3,22,4,1,0,perfil6
987,1,1,7,10,3,1,0,perfil6
988,0,0,8,58,56,53,0,perfil2
989,1,1,7,61,48,38,0,perfil2
990,0,0,10,206,195,187,6,perfil1
991,0,0,7,67,20,13,0,perfil4
992,0,0,5,58,51,36,0,perfil2
993,1,1,5,31,4,1,0,perfil6
994,0,0,5,10,4,2,0,perfil6
995,0,0,2,245,63,45,1,perfil1
996,1,1,8,163,111,96,0,perfil2
997,1,1,9,56,10,4,0,perfil6
998,1,1,9,138,60,30,0,perfil2
999,0,0,9,22,20,19,0,perfil3
